基金代码,基金名称,基金经理,类型,募集起始日,募集截止日,发行公告,
501047,汇添富中证全指证券公司指数(LOF)A,楚天舒,指数型,2017-11-08,2017-11-28,公告,
501049,东方红睿玺三年定开混合,王延飞,稳健成长型,2017-11-08,2017-11-08,公告,
501048,汇添富中证全指证券公司指数(LOF)C,楚天舒,指数型,2017-11-08,2017-11-28,公告,
005252,中海添瑞定期开放混合,刘俊 彭海平,稳健成长型,2017-11-06,2017-12-01,公告,
005282,中金价值轮动混合A,郭党钰,稳健成长型,2017-11-06,2018-01-02,公告,
004721,华夏睿磐泰茂混合C,张弘弢,稳健成长型,2017-11-06,2017-12-01,公告,
005283,中金价值轮动混合C,郭党钰,稳健成长型,2017-11-06,2018-01-02,公告,
004720,华夏睿磐泰茂混合A,张弘弢,稳健成长型,2017-11-06,2017-12-01,公告,
005279,华泰紫金红利低波指数发起,熊志勇,指数型,2017-11-06,2017-11-24,公告,
501051,圆信永丰汇利混合(LOF),洪流,稳健成长型,2017-11-06,2017-11-24,公告,
004685,金元顺安元启灵活配置混合,缪玮彬,稳健成长型,2017-11-06,2018-02-05,公告,
160423,华安慧增优选定期开放灵活配置混合,刘伟亭,稳健成长型,2017-11-03,2018-02-02,公告,
004848,中欧睿泓定期开放混合,曹名长 孙倩倩,稳健成长型,2017-11-03,2017-11-17,公告,
159957,华夏创业板ETF,徐猛,指数型,2017-11-03,2017-11-30,公告,
501106,广发中证10年期国开债(LOF)A,王予柯,指数型,2017-11-03,2017-12-01,公告,
005301,前海开源景鑫混合A,李炳智,稳健成长型,2017-11-03,2018-01-05,公告,
001562,易方达瑞和混合,萧楠,稳健成长型,2017-11-03,2018-01-30,公告,
004668,建信鑫泽回报灵活配置混合A,王东杰,稳健成长型,2017-11-03,2018-02-02,公告,
004669,建信鑫泽回报灵活配置混合C,王东杰,稳健成长型,2017-11-03,2018-02-02,公告,
005302,前海开源景鑫混合C,李炳智,稳健成长型,2017-11-03,2018-01-05,公告,
004665,国泰润享纯债债券,韩哲昊,稳健成长型,2017-11-03,2018-02-02,公告,
004989,人保双利混合B,魏瑄,稳健成长型,2017-11-03,2017-11-29,公告,
004806,长信先机两年定期开放混合,左金保,稳健成长型,2017-11-03,2017-12-15,公告,
004988,人保双利混合A,魏瑄,稳健成长型,2017-11-03,2017-11-29,公告,
005285,广发中证10年期国开债(LOF)C,王予柯,指数型,2017-11-03,2017-12-01,公告,
005144,东吴优益债券A,陈晨,稳健成长型,2017-11-02,2017-11-17,公告,
005209,东吴双三角股票A,曹松涛 彭敢,稳健成长型,2017-11-02,2017-11-29,公告,
005145,东吴优益债券C,陈晨,稳健成长型,2017-11-02,2017-11-17,公告,
005210,东吴双三角股票C,彭敢 曹松涛,稳健成长型,2017-11-02,2017-11-29,公告,
004673,华夏鼎盛债券C,祝灿,稳健成长型,2017-11-02,2018-01-24,公告,
004672,华夏鼎盛债券A,祝灿,稳健成长型,2017-11-02,2018-01-24,公告,
005294,诺德新宜混合,张倩,稳健成长型,2017-11-02,2017-12-01,公告,
005051,上投摩根港股低波红利指数A,张淑婉 施虓文,指数型,2017-11-01,2017-11-29,公告,
005052,上投摩根港股低波红利指数C,施虓文 张淑婉,指数型,2017-11-01,2017-11-29,公告,
004653,建信鑫利回报灵活配置混合C,何珅华 叶乐天,稳健成长型,2017-11-01,2017-12-15,公告,
001747,易方达瑞祺混合I,胡剑,稳健成长型,2017-11-01,2018-01-30,公告,
005171,富国景利纯债债券,钟智伦,稳健成长型,2017-11-01,2017-11-10,公告,
001573,南方互联混合,张原,稳健成长型,2017-11-01,2017-11-22,公告,
005280,安信阿尔法定开混合,龙川,稳健成长型,2017-11-01,2017-11-30,公告,
004764,中科沃土沃嘉混合C,杨凡,稳健成长型,2017-11-01,2017-12-01,公告,
004763,中科沃土沃嘉混合A,杨凡,稳健成长型,2017-11-01,2017-12-01,公告,
004652,建信鑫利回报灵活配置混合A,何珅华 叶乐天,稳健成长型,2017-11-01,2017-12-15,公告,
004900,财通资管鑫锐混合A,宫志芳,稳健成长型,2017-11-01,2017-11-30,公告,
004901,财通资管鑫锐混合C,宫志芳,稳健成长型,2017-11-01,2017-11-30,公告,
005270,太平改革红利精选混合,梁鹏,稳健成长型,2017-11-01,2017-11-28,公告,
001748,易方达瑞祺混合E,胡剑,稳健成长型,2017-11-01,2018-01-30,公告,
005295,诺德天富混合,张倩,稳健成长型,2017-11-01,2017-11-30,公告,
004674,富国新机遇灵活配置混合A,钟智伦,稳健成长型,2017-10-31,2017-11-27,公告,
004679,国泰安惠收益定期开放债券C,吴晨,稳健成长型,2017-10-31,2018-01-30,公告,
005075,富国研究量化精选混合,于鹏,稳健成长型,2017-10-31,2017-11-20,公告,
004678,国泰安惠收益定期开放债券A,吴晨,稳健成长型,2017-10-31,2018-01-30,公告,
004675,富国新机遇灵活配置混合C,钟智伦,稳健成长型,2017-10-31,2017-11-27,公告,
004936,中航混改精选混合A,杜晓安 韩浩,稳健成长型,2017-10-31,2017-11-30,公告,
004937,中航混改精选混合C,杜晓安 韩浩,稳健成长型,2017-10-31,2017-11-30,公告,
002216,易方达量化策略精选灵活配置混合A,官泽帆,稳健成长型,2017-10-30,2017-12-25,公告,
004402,金信民旺债券C,周余,稳健成长型,2017-10-30,2017-11-29,公告,
005211,银河智慧混合,袁曦,稳健成长型,2017-10-30,2017-11-24,公告,
005244,国泰聚优价值灵活配置混合A,程洲,稳健成长型,2017-10-30,2017-11-24,公告,
001344,易方达沪深300医药ETF联接,余海燕,指数型,2017-10-30,2017-12-25,公告,
004719,景顺长城睿成灵活配置混合C,杨鹏,稳健成长型,2017-10-30,2017-11-30,公告,
004222,金信民旺债券A,周余,稳健成长型,2017-10-30,2017-11-29,公告,
001836,易方达瑞祥灵活配置混合E,胡剑,稳健成长型,2017-10-30,2018-01-29,公告,
001835,易方达瑞祥灵活配置混合I,胡剑,稳健成长型,2017-10-30,2018-01-29,公告,
002217,易方达量化策略精选灵活配置混合C,官泽帆,稳健成长型,2017-10-30,2017-12-25,公告,
004707,景顺长城睿成灵活配置混合A,杨鹏,稳健成长型,2017-10-30,2017-11-30,公告,
005126,银河量化稳进混合,楼华锋,稳健成长型,2017-10-30,2017-11-24,公告,
005109,汇安多策略混合A,戴杰,稳健成长型,2017-10-30,2017-11-17,公告,
005015,泰康景泰回报混合C,桂跃强,稳健成长型,2017-10-30,2017-11-24,公告,
005014,泰康景泰回报混合A,桂跃强,稳健成长型,2017-10-30,2017-11-24,公告,
005268,鹏华优势企业股票,陈璇淼,稳健成长型,2017-10-30,2017-11-24,公告,
005169,华泰保兴策略精选混合A,尚烁徽 张挺,稳健成长型,2017-10-30,2017-11-17,公告,
005187,长安鑫兴混合C,林忠晶,稳健成长型,2017-10-30,2017-11-24,公告,
005186,长安鑫兴混合A,林忠晶,稳健成长型,2017-10-30,2017-11-24,公告,
005110,汇安多策略混合C,戴杰,稳健成长型,2017-10-30,2017-11-17,公告,
005170,华泰保兴策略精选混合C,张挺 尚烁徽,稳健成长型,2017-10-30,2017-11-17,公告,
005245,国泰聚优价值灵活配置混合C,程洲,稳健成长型,2017-10-30,2017-11-24,公告,
005269,华泰柏瑞港股通量化混合,田汉卿 盛豪,稳健成长型,2017-10-27,2017-11-24,公告,
005243,融通中国概念债券(QDII),王浩宇,稳健成长型,2017-10-26,2017-11-22,公告,
001738,大摩新趋势混合,缪东航,稳健成长型,2017-10-26,2017-11-22,公告,
002885,大摩万众创新混合,司巍,稳健成长型,2017-10-25,2017-11-29,公告,
004852,广发价值回报混合A,王予柯,稳健成长型,2017-10-24,2017-11-21,公告,
004853,广发价值回报混合C,王予柯,稳健成长型,2017-10-24,2017-11-21,公告,
004627,上投摩根岁岁益定期开放债券A,刘阳,稳健成长型,2017-10-23,2017-11-22,公告,
005266,博时厚泽回报混合C,周心鹏,稳健成长型,2017-10-23,2017-11-17,公告,
004622,国泰瑞益灵活配置混合A,樊利安,稳健成长型,2017-10-23,2018-01-22,公告,
005143,中融沪港深大消费主题混合C,解静 付世伟,稳健成长型,2017-10-23,2017-11-10,公告,
004628,上投摩根岁岁益定期开放债券C,刘阳,稳健成长型,2017-10-23,2017-11-22,公告,
004623,国泰瑞益灵活配置混合C,樊利安,稳健成长型,2017-10-23,2018-01-22,公告,
005142,中融沪港深大消费主题混合A,解静 付世伟,稳健成长型,2017-10-23,2017-11-10,公告,
004881,中银量化价值混合,赵志华,稳健成长型,2017-10-23,2017-11-17,公告,
004637,华夏鼎兴债券A,祝灿,稳健成长型,2017-10-23,2018-01-12,公告,
005256,富国新优选灵活配置定期开放混合A,钟智伦,稳健成长型,2017-10-23,2017-12-04,公告,
005257,富国新优选灵活配置定期开放混合C,钟智伦,稳健成长型,2017-10-23,2017-12-04,公告,
004619,国泰民润纯债债券,韩哲昊,稳健成长型,2017-10-23,2018-01-22,公告,
005265,博时厚泽回报混合A,周心鹏,稳健成长型,2017-10-23,2017-11-17,公告,
004638,华夏鼎兴债券C,祝灿,稳健成长型,2017-10-23,2018-01-12,公告,
001857,易方达现代服务业灵活配置混合,萧楠,稳健成长型,2017-10-23,2017-11-17,公告,
005254,泰达宏利创富混合,庄腾飞 庞宝臣,稳健成长型,2017-10-20,2018-01-19,公告,
004750,广发鑫和混合A,谢军,稳健成长型,2017-10-20,2017-11-20,公告,
004618,建信鑫稳回报灵活配置混合C,王东杰 薛玲,稳健成长型,2017-10-20,2017-12-01,公告,
004617,建信鑫稳回报灵活配置混合A,王东杰 薛玲,稳健成长型,2017-10-20,2017-12-01,公告,
004751,广发鑫和混合C,谢军,稳健成长型,2017-10-20,2017-11-20,公告,
005159,华泰保兴尊合债券A,张挺,稳健成长型,2017-10-19,2017-11-13,公告,
005160,华泰保兴尊合债券C,张挺,稳健成长型,2017-10-19,2017-11-13,公告,
005018,国金民丰回报混合,徐艳芳 林健武,稳健成长型,2017-10-18,2017-11-22,公告,
004994,中欧可转债债券C,黄华,稳健成长型,2017-10-18,2017-11-08,公告,
004993,中欧可转债债券A,黄华,稳健成长型,2017-10-18,2017-11-08,公告,
004620,国泰恒益灵活配置混合A,樊利安,稳健成长型,2017-10-16,2018-01-15,公告,
005235,银华食品饮料量化股票发起式A,马君,稳健成长型,2017-10-16,2017-11-03,公告,
005237,银华医疗健康量化股票发起式A,马君,稳健成长型,2017-10-16,2017-11-03,公告,
005239,银华文体娱乐量化股票发起式A,周大鹏,稳健成长型,2017-10-16,2017-11-03,公告,
160644,鹏华港美互联股票(QDII-LOF),尤柏年,稳健成长型,2017-10-16,2017-11-10,公告,
005238,银华医疗健康量化股票发起式C,马君,稳健成长型,2017-10-16,2017-11-03,公告,
004621,国泰恒益灵活配置混合C,樊利安,稳健成长型,2017-10-16,2018-01-15,公告,
005176,富国精准医疗灵活配置混合,戴益强,稳健成长型,2017-10-16,2017-11-10,公告,
005236,银华食品饮料量化股票发起式C,马君,稳健成长型,2017-10-16,2017-11-03,公告,
004914,中银证券聚瑞混合C,王玉玺 沈龙,稳健成长型,2017-10-16,2017-11-10,公告,
004913,中银证券聚瑞混合A,王玉玺 沈龙,稳健成长型,2017-10-16,2017-11-10,公告,
003032,平安大华医疗健康混合,乔海英,稳健成长型,2017-10-16,2017-11-10,公告,
005240,银华文体娱乐量化股票发起式C,周大鹏,稳健成长型,2017-10-16,2017-11-03,公告,
005208,国寿安保安裕纯债半年定开债券发起式,黄力,稳健成长型,2017-10-13,2017-12-08,公告,
510380,国寿安保沪深300ETF,李康,指数型,2017-10-13,2017-12-07,公告,
004044,金鹰转型动力混合,王喆,稳健成长型,2017-10-13,2017-11-10,公告,
005228,添富港股通专注成长混合,倪健 佘中强,稳健成长型,2017-10-12,2017-11-08,公告,
005197,工银沪港深精选混合A,郝康,稳健成长型,2017-10-11,2017-11-07,公告,
005198,工银沪港深精选混合C,郝康,稳健成长型,2017-10-11,2017-11-07,公告,
004998,长信全球债券(QDII),杨帆,稳健成长型,2017-10-10,2017-11-24,公告,
004999,长信全球债券美元(QDII),杨帆,稳健成长型,2017-10-10,2017-11-24,公告,
004607,长信利尚一年定期开放混合,李小羽,稳健成长型,2017-10-09,2017-11-10,公告,
005146,兴银丰润灵活配置混合,张晓南,稳健成长型,2017-10-09,2017-11-17,公告,
004925,长信低碳环保行业量化股票,左金保,稳健成长型,2017-10-09,2017-11-03,公告,
005147,兴银瑞景灵活配置混合,张晓南,稳健成长型,2017-10-04,2018-01-03,公告,
004608,长信乐信混合A,朱君荣,稳健成长型,2017-09-30,2017-11-10,公告,
004609,长信乐信混合C,朱君荣,稳健成长型,2017-09-30,2017-11-10,公告,
005192,博时鑫和混合C,过钧,稳健成长型,2017-09-29,2017-12-08,公告,
005191,博时鑫和混合A,过钧,稳健成长型,2017-09-29,2017-12-08,公告,
005072,中银丰进定期开放债券,王妍,稳健成长型,2017-09-26,2017-11-24,公告,
005131,海富通盈鑫货币A,谈云飞,收益型,2017-09-11,2017-12-08,公告,
005196,博时合丰货币B,黄海峰,收益型,2017-09-11,2017-12-08,公告,
005132,海富通盈鑫货币B,谈云飞,收益型,2017-09-11,2017-12-08,公告,
005195,博时合丰货币A,黄海峰,收益型,2017-09-11,2017-12-08,公告,
002204,国泰安心回报混合,吴晨,稳健成长型,2017-08-25,2017-11-24,公告,
